name,url,price,sentiment
letitride,http://www.letitri.de/,4.62e-4,NA
leviarcoin,https://leviarcoin.org/,0.015845,NA
levoplus,http://levoplus.com/,0.005071,NA
linda,http://lindacoin.com/,1.53e-4,-0.19540229885057472
linkedcoin,https://www.linkedcoin.com/,1.32e-4,NA
linx,https://mylinx.io/,0.072198,0.05555555555555555
lisk,https://lisk.io/,5.64,-0.1891891891891892
litebar,http://litebar.co/,0.259912,NA
litebitcoin,http://www.lbtc.info/,0.001199,NA
litecoin-plus,http://litecoinplus.co,0.105969,NA
litecoin-ultra,http://www.litecoinultra.com/,0.006282,NA
litecoin,https://litecoin.com,59.26,0.125
litecred,http://litecred.com/,0.001398,NA
litedoge,http://www.ldoge.tech/,4.7e-5,NA
lomocoin,http://www.lomostar.com/,0.043156,NA
lottocoin,http://lottocoin.org/,1.3e-5,NA
luckchain,http://luckchain.org/,0.001663,NA
luna-coin,https://bitluna.org/,0.01164,NA
luxcoin,https://www.luxcoin.tech/,1.27,NA
lykke,https://lykke.com,0.364831,NA
machinecoin,http://www.machinecoin.org,0.025935,NA
macron,https://bitcointalk.org/index.php?topic=1840661.0,1.32e-4,NA
magi,http://coinmagi.org/,0.240748,-0.07272727272727272
magnetcoin,https://magnetcoin.net/,0.332029,NA
magnum,https://www.mgmcoin.org/,0.002837,NA
mantracoin,https://mantracoin.org/,3.96e-4,NA
mao-zedong,https://bitcointalk.org/index.php?topic=1970439.0,0.263868,NA
marijuanacoin,https://marijuanacoin.net,0.032667,NA
marscoin,http://marscoin.org/,0.001868,NA
martexcoin,http://martexcoin.org/,0.656933,NA
marxcoin,https://www.marxcoin.com/,8.71e-4,NA
master-swiscoin,https://www.swisopensource.com/,0.00146,NA
masternodecoin,http://www.masternodecoin.org/,0.127546,NA
mavro,http://mavro.org/,0.008116,NA
maxcoin,https://www.maxcoin.co.uk/,0.008578,NA
mazacoin,http://www.mazacoin.org/,2.65e-4,-0.36363636363636365
megacoin,https://www.megacoin.eu/,0.043548,NA
memetic,https://memetic.ai/,0.19122,NA
mergecoin,http://www.mergecoin.com/,0.014842,NA
metal-music-coin,http://metalmusiccoin.pw/,4.47e-4,NA
metalcoin,http://www.metalmoshpit.com/,0.006862,NA
microcoin,http://microcoin.alcurex.info/,7.3e-5,NA
milocoin,http://www.milocoin.info/,0.002237,NA
mincoin,https://www.mincoin.us/,0.077493,NA
mindcoin,http://www.mindcoin.xyz/,0.002507,NA
mineum,https://mineum.org/,0.015108,NA
minexcoin,https://minexcoin.com/,8.37,NA
mintcoin,http://www.mintcoinofficial.com,1.12e-4,NA
mmxvi,https://bitcointalk.org/index.php?topic=1361482.0,0.002375,NA
mobilecash,http://www.mbl.cash/,3.3e-4,NA
moin,https://discovermoin.com/,0.082696,0
mojocoin,https://mojocoin.org/,0.008542,NA
monacocoin,http://www.monacocoin.net/,0.390659,NA
monacoin,http://monacoin.org,2.62,NA
monero,http://www.monero.cc,105.59,-0.25
moneta,https://bitcointalk.org/index.php?topic=737548.0,3.31e-4,-0.07272727272727272
monetaryunit,http://www.monetaryunit.org,0.105382,NA
money,http://moneyfoundation.github.io/moneypage/index.html,0.001253,-0.13333333333333333
moneycoin,http://moneycoin.pw/,6.6e-5,NA
mooncoin,http://mooncoin.com/,2.7e-5,NA
motocoin,http://motocoin.org/,0.004047,-0.2
msd,https://mymsdspace.com/,0.013395,0.14705882352941177
